Date,써니전자,콤텍시스템,우성사료,솔고바이오메디칼,한국정보공학,미래산업,휴맥스,다믈멀티미디어,브리지텍,아남전자
2017-05-12,-61.62642947903431,-10.826446280991743,-48.26546003016593,-10.37924936136767,-28.60429447852758,-31.846114992844498,-1.683132089279138,-57.34953703703704,7.058823529411762,-13.551401869158852
2017-05-13,-61.62642947903431,-10.826446280991743,-48.26546003016593,-10.37924936136767,-28.60429447852758,-31.846114992844498,-1.683132089279138,-57.34953703703704,7.058823529411762,-13.551401869158852
2017-05-14,-61.62642947903431,-10.826446280991743,-48.26546003016593,-10.37924936136767,-28.60429447852758,-31.846114992844498,-1.683132089279138,-57.34953703703704,7.058823529411762,-13.551401869158852
2017-05-15,-61.24523506988564,-10.826446280991743,-48.868778280543005,-10.835134604047969,-29.37116564417176,-31.61040491623872,-1.683132089279138,-56.712962962962955,3.2679738562091387,-13.317757009345776
2017-05-16,-62.515883100381195,-13.553719008264476,-49.92458521870288,-11.263509530359617,-30.67484662576685,-32.7889552992676,-3.375411635565262,-56.13425925925925,0.0,-18.691588785046708
2017-05-17,-60.99110546378653,-12.727272727272743,-48.868778280543005,-11.963057575162129,-32.43865030674845,-33.49608552908493,-3.7961946578850547,-55.90277777777777,-2.2222222222222254,-19.742990654205595
2017-05-18,-61.88055908513341,-14.380165289256219,-48.71794871794874,-12.953428964433101,-32.97546012269936,-34.910345988719584,-3.7961946578850547,-56.94444444444443,-1.17647058823529,-17.28971962616821
2017-05-19,-60.60991105463786,-11.98347107438017,-47.737556561085995,-12.525054038121453,-32.89877300613495,-33.26037545247915,-5.058543724844444,-56.94444444444443,2.614379084967333,-16.70560747663551
2017-05-20,-60.60991105463786,-11.98347107438017,-47.737556561085995,-12.525054038121453,-32.89877300613495,-33.26037545247915,-5.058543724844444,-56.94444444444443,2.614379084967333,-16.70560747663551
2017-05-21,-60.60991105463786,-11.98347107438017,-47.737556561085995,-12.525054038121453,-32.89877300613495,-33.26037545247915,-5.058543724844444,-56.94444444444443,2.614379084967333,-16.70560747663551
2017-05-22,-61.30876747141042,-12.727272727272732,-47.88838612368026,-13.087050501080789,-32.82208588957053,-33.26037545247915,-6.3300402488107865,-56.07638888888887,1.5686274509804088,-14.60280373831775
2017-05-23,-60.864040660736975,-12.148760330578522,-47.58672699849173,-13.75908822951466,-31.518404907975427,-33.49608552908493,-5.058543724844434,-56.59722222222221,3.3986928104575265,-17.640186915887835
2017-05-24,-61.62642947903429,-11.570247933884314,-48.114630467571665,-13.837689133425057,-31.825153374233096,-34.211633975923895,-3.375411635565262,-57.29166666666665,2.2222222222222365,-12.850467289719614
2017-05-25,-61.68996188055908,-10.247933884297545,-48.26546003016593,-12.069168795441175,-32.51533742331285,-34.67463591211381,-5.058543724844444,-57.349537037037024,-0.5228758169934511,-15.77102803738316
2017-05-26,-61.68996188055908,-11.3223140495868,-48.26546003016593,-12.069168795441175,-32.51533742331285,-33.73179560569071,-5.058543724844444,-57.63888888888887,-0.39215686274508554,-16.939252336448586
2017-05-27,-61.68996188055908,-11.3223140495868,-48.26546003016593,-12.069168795441175,-32.51533742331285,-33.73179560569071,-5.058543724844444,-57.63888888888887,-0.39215686274508554,-16.939252336448586
2017-05-28,-61.68996188055908,-11.3223140495868,-48.26546003016593,-12.069168795441175,-32.51533742331285,-33.73179560569071,-5.058543724844444,-57.63888888888887,-0.39215686274508554,-16.939252336448586
2017-05-29,-61.18170266836086,-14.049586776859524,-49.245852187028675,-12.709766162310887,-33.20552147239262,-34.43892583550803,-4.216977680204859,-58.44907407407406,-1.9607843137254832,-20.327102803738306
2017-05-30,-60.67344345616264,-12.975206611570279,-48.79336349924587,-12.28532128119475,-34.43251533742328,-34.43892583550803,-4.637760702524652,-56.65509259259258,0.7843137254902155,-19.39252336448597
2017-05-31,-60.67344345616264,-12.975206611570279,-48.56711915535447,-11.15739831008058,-33.512269938650284,-33.967505682296476,-3.796194657885066,-56.53935185185184,0.65359477124185,-21.962616822429894
2017-06-01,-60.419313850063524,-12.975206611570279,-48.26546003016593,-10.02947533896641,-26.533742331288312,-33.731795605690685,-1.2623490669593451,-56.88657407407405,2.7450980392156987,-24.766355140186903
2017-06-02,-60.419313850063524,-10.826446280991753,-48.71794871794874,-10.835134604047958,-28.52760736196316,-33.731795605690685,-0.4207830223197595,-57.118055555555536,3.267973856209161,-25.700934579439238
2017-06-03,-60.419313850063524,-10.826446280991753,-48.71794871794874,-10.835134604047958,-28.52760736196316,-33.731795605690685,-0.4207830223197595,-57.118055555555536,3.267973856209161,-25.700934579439238
2017-06-04,-60.419313850063524,-10.826446280991753,-48.71794871794874,-10.835134604047958,-28.52760736196316,-33.731795605690685,-0.4207830223197595,-57.118055555555536,3.267973856209161,-25.700934579439238
2017-06-05,-61.3722998729352,-10.826446280991753,-48.4162895927602,-9.573590096286122,-27.76073619631898,-33.26037545247914,-0.4207830223197595,-58.10185185185184,1.8300653594771399,-27.10280373831774
2017-06-06,-61.3722998729352,-10.826446280991753,-48.4162895927602,-9.573590096286122,-27.76073619631898,-33.26037545247914,-0.4207830223197595,-58.10185185185184,1.8300653594771399,-27.10280373831774
2017-06-07,-60.991105463786525,-11.074380165289277,-48.79336349924587,-8.339555904892926,-27.68404907975456,-32.08182506945027,-0.8415660446395523,-58.21759259259258,3.3986928104575265,-24.649532710280354
2017-06-08,-61.308767471410405,-11.98347107438018,-49.01960784313727,-9.813322853212835,-28.834355828220815,-33.26037545247914,4.440892098500626e-14,-58.27546296296294,2.7450980392156987,-26.051401869158862
2017-06-09,-61.24523506988563,-12.148760330578522,-49.47209653092008,-9.707211632933799,-28.911042944785237,-33.024665375873376,1.2714965239663867,-52.951388888888864,3.3986928104575265,-26.28504672897194
2017-06-10,-61.24523506988563,-12.148760330578522,-49.47209653092008,-9.707211632933799,-28.911042944785237,-33.024665375873376,1.2714965239663867,-52.951388888888864,3.3986928104575265,-26.28504672897194
2017-06-11,-61.24523506988563,-12.148760330578522,-49.47209653092008,-9.707211632933799,-28.911042944785237,-33.024665375873376,1.2714965239663867,-52.951388888888864,3.3986928104575265,-26.28504672897194
2017-06-12,-61.49936467598474,-11.98347107438018,-50.15082956259429,-10.379249361367682,-30.214723926380326,-32.55324522266182,4.440892098500626e-14,-52.083333333333314,0.9150326797385588,-28.621495327102785
2017-06-13,-61.75349428208386,-12.975206611570266,-48.868778280543005,-9.33385733935943,-30.598159509202404,-33.024665375873376,0.4207830223198483,-50.925925925925895,0.9150326797385588,-28.504672897196237
2017-06-14,-61.88055908513341,-12.148760330578535,-48.26546003016593,-9.70721163293381,-31.901840490797497,-32.55324522266182,1.2714965239663867,-52.662037037037,3.267973856209161,-26.752336448598115
2017-06-15,-62.26175349428207,-12.975206611570266,-48.56711915535447,-10.135586559245457,-31.441717791410994,-32.55324522266182,0.8415660446396522,-51.504629629629605,1.5686274509804088,-25.934579439252303
2017-06-16,-61.94409148665818,-14.876033057851268,-49.01960784313727,-9.251326390253512,-31.518404907975416,-32.081825069450275,-2.1039151115989196,-53.18287037037035,0.915032679738581,-26.635514018691563
